epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7972,1.89656,1.90621,1.92706,0.54857,0.34227,0.33689,0.1423,2.3005,2.18315,2.5492,0.000220383,0.000220383,0.000220383
2,56.1523,1.91762,1.62663,1.89664,0.77736,0.31784,0.33377,0.1418,2.3146,2.31862,2.56022,0.000438333,0.000438333,0.000438333
3,79.605,1.93318,1.63997,1.90924,0.80677,0.24695,0.29551,0.12189,2.34484,2.98459,2.61702,0.000651882,0.000651882,0.000651882
4,103.025,1.89726,1.62898,1.89601,0.67327,0.3131,0.33872,0.15245,2.28918,2.13345,2.42422,0.00064719,0.00064719,0.00064719
5,128.432,1.89492,1.58926,1.88094,0.84814,0.34851,0.41355,0.18583,2.21198,1.67647,2.35092,0.000640587,0.000640587,0.000640587
6,155.1,1.8606,1.5375,1.85549,0.86524,0.32907,0.42401,0.18985,2.14272,1.96906,2.23698,0.000633983,0.000633983,0.000633983
7,181.068,1.83267,1.51229,1.82085,0.77324,0.33799,0.39304,0.18161,2.13746,1.75827,2.23623,0.00062738,0.00062738,0.00062738
8,204.586,1.80469,1.44045,1.81996,0.7189,0.37358,0.42183,0.19346,2.14541,1.77393,2.17917,0.000620777,0.000620777,0.000620777
9,230.43,1.77518,1.36997,1.78414,0.88502,0.3581,0.44506,0.20398,2.08491,1.61671,2.17568,0.000614174,0.000614174,0.000614174
10,256.902,1.77803,1.38777,1.78755,0.7556,0.39369,0.44953,0.20106,2.13463,1.56066,2.20164,0.00060757,0.00060757,0.00060757
11,281.306,1.72921,1.29965,1.74359,0.86969,0.39372,0.47532,0.22112,2.06292,1.41133,2.15264,0.000600967,0.000600967,0.000600967
12,307.49,1.73256,1.3045,1.7434,0.64021,0.45824,0.48844,0.23253,1.98294,1.36355,2.09445,0.000594364,0.000594364,0.000594364
13,334.572,1.72548,1.28651,1.7318,0.82,0.43263,0.47543,0.23036,1.99957,1.3233,2.12692,0.00058776,0.00058776,0.00058776
